"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Chattanooga                                                                                                                                                                                                                                                     ","City of Chattanooga Rail Transit Implementation Plan                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Chicago                                                                                                                                                                                                                                                         ","Bronzeville Bridge to Chicago's Lakefront                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Cincinnati                                                                                                                                                                                                                                                      ","Cincinnati Streetcar Riverfront Loop                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Cleveland, OH                                                                                                                                                                                                                                                   ","East 105th/East 93rd Transportation Corridor Plan                                                                                                                                                                                                                                                                                                                                                                                                ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Clinton, IA                                                                                                                                                                                                                                                     ","Downtown Clinton Street Improvements                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Columbia (SC)                                                                                                                                                                                                                                                   ","Seamless City Revitalization Project                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Concord, NH                                                                                                                                                                                                                                                     ","Concord Downtown Complete Streets Project                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Dahlonega                                                                                                                                                                                                                                                       ","Downtown Dahlonega Complete Streets Corridor Improvements                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Dahlonega                                                                                                                                                                                                                                                       ","Downtown Dahlonega Complete Streets Corridor Improvements                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Des Moines, IA                                                                                                                                                                                                                                                  ","Southeast Connector Road Project                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Detroit                                                                                                                                                                                                                                                         ","M-1 Fixed Rail Streetcar Project                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Detroit, MI                                                                                                                                                                                                                                                     ","Link Detroit Multimodal Enhancements                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Dubuque                                                                                                                                                                                                                                                         ","Millwork District Complete Streets Improvements                                                                                                                                                                                                                                                                                                                                                                                                  ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Durham, North Carolina                                                                                                                                                                                                                                          ","Duke Belt Line Trail Master Plan                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of El Paso Sun Metro                                                                                                                                                                                                                                               ","Northgate Transfer Center                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Foley                                                                                                                                                                                                                                                           ","Foley Transportation Regional Infrastructure Pedestrian System (TRIPS)                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Fort Valley, Georgia                                                                                                                                                                                                                                            ","State University Drive Complete Streets Project (Peach County)                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Fresno                                                                                                                                                                                                                                                          ","Fulton Mall Reconstruction                                                                                                                                                                                                                                                                                                                                                                                                                       ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Garden City, Kansas                                                                                                                                                                                                                                             ","The Southwest Chief Route Improvement Project                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Gladstone                                                                                                                                                                                                                                                       ","Village Center Street, Transit and Infrastructure Improvement Planning Study                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Goldsboro                                                                                                                                                                                                                                                       ","Goldsboro Main Street Revitalization                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Goleta                                                                                                                                                                                                                                                          ","Hollister Avenue Complete Streets Corridor Plan                                                                                                                                                                                                                                                                                                                                                                                                  ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Greenville, South Carolina                                                                                                                                                                                                                                      ","Linking Greenvilles Neighborhoods to Jobs and Open Space                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Hailey                                                                                                                                                                                                                                                          ","Woodside Boulevard Complete Street Initiative                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Hartford, CT                                                                                                                                                                                                                                                    ","Hartford's Intermodal Transportation Triangle                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Houston, TX                                                                                                                                                                                                                                                     ","Houston Regional Multimodal Connections to Transit                                                                                                                                                                                                                                                                                                                                                                                               ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Indianapolis                                                                                                                                                                                                                                                    ","Indianapolis Bicycle and Pedestrian Network                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"TIGER Grants                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","City of Industry                                                                                                                                                                                                                                                        ","57/60 Confluence Freight Corridor Project                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
