"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Building Neighborhood Capacity Program                                                                                                                                                                                                                          ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Fresno                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.buildingcommunitycapacity.org/                                                                                                          ",1
"Building Neighborhood Capacity Program                                                                                                                                                                                                                          ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Flint                                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.buildingcommunitycapacity.org/                                                                                                          ",1
"Building Neighborhood Capacity Program                                                                                                                                                                                                                          ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Memphis                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.buildingcommunitycapacity.org/                                                                                                          ",1
"Building Neighborhood Capacity Program                                                                                                                                                                                                                          ","WI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Milwaukee                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.buildingcommunitycapacity.org/                                                                                                          ",1
