"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Rebuild by Design                                                                                                                                                                                                                                               ","NJ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hoboken                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Rebuild by Design                                                                                                                                                                                                                                               ","NJ                                                                                                                                                                                                                                                             ","Bergen                                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Rebuild by Design                                                                                                                                                                                                                                               ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Bronx                                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Rebuild by Design                                                                                                                                                                                                                                               ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Long Island                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Rebuild by Design                                                                                                                                                                                                                                               ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","New York                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Rebuild by Design                                                                                                                                                                                                                                               ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Staten Island                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
