"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Operation AmeriCorps                                                                                                                                                                                                                                            ","AZ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Tucson                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/americorps/operation-americorps                                                                            ",1
"Operation AmeriCorps                                                                                                                                                                                                                                            ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Los Angeles                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/americorps/operation-americorps                                                                            ",1
"Operation AmeriCorps                                                                                                                                                                                                                                            ","FL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Orlando                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/americorps/operation-americorps                                                                            ",1
"Operation AmeriCorps                                                                                                                                                                                                                                            ","IL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","East St. Louis                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/americorps/operation-americorps                                                                            ",1
"Operation AmeriCorps                                                                                                                                                                                                                                            ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Flint                                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/americorps/operation-americorps                                                                            ",1
"Operation AmeriCorps                                                                                                                                                                                                                                            ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","New York                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/americorps/operation-americorps                                                                            ",1
