"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"LadderSTEP                                                                                                                                                                                                                                                      ","AZ                                                                                                                                                                                                                                                             ","Maricopa                                                                                                                                                                                                                                                       ","Phoenix                                                                                                                                                                                                                                                                 ","Phoenix                                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"LadderSTEP                                                                                                                                                                                                                                                      ","GA                                                                                                                                                                                                                                                             ","Fulton                                                                                                                                                                                                                                                         ","Atlanta                                                                                                                                                                                                                                                                 ","Atlanta                                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"LadderSTEP                                                                                                                                                                                                                                                      ","IN                                                                                                                                                                                                                                                             ","Marion                                                                                                                                                                                                                                                         ","Indianapolis                                                                                                                                                                                                                                                            ","Indianapolis                                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"LadderSTEP                                                                                                                                                                                                                                                      ","LA                                                                                                                                                                                                                                                             ","East Baton Rouge Parish                                                                                                                                                                                                                                        ","Baton Rouge                                                                                                                                                                                                                                                             ","Baton Rouge                                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"LadderSTEP                                                                                                                                                                                                                                                      ","MD                                                                                                                                                                                                                                                             ","Baltimore                                                                                                                                                                                                                                                      ","Baltimore                                                                                                                                                                                                                                                               ","Baltimore                                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"LadderSTEP                                                                                                                                                                                                                                                      ","NC                                                                                                                                                                                                                                                             ","Mecklenburg                                                                                                                                                                                                                                                    ","Charlotte                                                                                                                                                                                                                                                               ","Charlotte                                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"LadderSTEP                                                                                                                                                                                                                                                      ","VA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Richmond                                                                                                                                                                                                                                                                ","Richmond                                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
