"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","MN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Duluth                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Kansas City                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","St. Louis                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","MS                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","North Gulfport                                                                                                                                                                                                                                                          ","Turkey Creek Watershed                                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","MT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Helena                                                                                                                                                                                                                                                                  ","6th Ward Area                                                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","MT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Helena                                                                                                                                                                                                                                                                  ","The Queen City Crossing                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","MT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Poplar                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","NE                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Omaha                                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","NH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hinsdale                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","NJ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Camden                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","NJ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Newark                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","NM                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Anthony                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","NM                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Cochiti Pueblo                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","NM                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Grants                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
