"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Pay for Success                                                                                                                                                                                                                                                 ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Grand Rapids                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/green-healthy-homes-initiativecalvert-foundation                        ",1
"Pay for Success                                                                                                                                                                                                                                                 ","MT                                                                                                                                                                                                                                                             ","Missoula County                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/university-utah-policy-innovation-lab                                   ",1
"Pay for Success                                                                                                                                                                                                                                                 ","NC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Raleigh                                                                                                                                                                                                                                                                 ","State of North Carolina                                                                                                                                                                                                                                                                                                                                                                                                                          ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/institute-child-success                                                 ",1
"Pay for Success                                                                                                                                                                                                                                                 ","NJ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Collingswood                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/corporation-supportive-housing                                          ",1
"Pay for Success                                                                                                                                                                                                                                                 ","NM                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Santa Fe                                                                                                                                                                                                                                                                ","State of New Mexico                                                                                                                                                                                                                                                                                                                                                                                                                              ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/corporation-supportive-housing                                          ",1
"Pay for Success                                                                                                                                                                                                                                                 ","NV                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Las Vegas                                                                                                                                                                                                                                                               ","State of Nevada (Southern)                                                                                                                                                                                                                                                                                                                                                                                                                       ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/university-utah-policy-innovation-lab                                   ",1
"Pay for Success                                                                                                                                                                                                                                                 ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Albany                                                                                                                                                                                                                                                                  ","State of New York                                                                                                                                                                                                                                                                                                                                                                                                                                ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/corporation-supportive-housing                                          ",1
"Pay for Success                                                                                                                                                                                                                                                 ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Buffalo                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/green-healthy-homes-initiativecalvert-foundation                        ",1
"Pay for Success                                                                                                                                                                                                                                                 ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","New York City                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://innovation.workforce3one.org/resources_uploads/one-pagers/WIF_PFS_Grantee_Summary_NYDOL_revisions_final.pdf                                 ",1
"Pay for Success                                                                                                                                                                                                                                                 ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Pittsford                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/green-healthy-homes-initiativecalvert-foundation                        ",1
"Pay for Success                                                                                                                                                                                                                                                 ","OR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Portland                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/third-sector-capital-partners-inc                                       ",1
"Pay for Success                                                                                                                                                                                                                                                 ","OR                                                                                                                                                                                                                                                             ","Marion County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/third-sector-capital-partners-inc                                       ",1
"Pay for Success                                                                                                                                                                                                                                                 ","OR                                                                                                                                                                                                                                                             ","Multnomah County                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/third-sector-capital-partners-inc                                       ",1
"Pay for Success                                                                                                                                                                                                                                                 ","PA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Harrisburg                                                                                                                                                                                                                                                              ","Commonwealth of Pennsylvania                                                                                                                                                                                                                                                                                                                                                                                                                     ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/harvard-kennedy-school-social-impact-bond-lab                           ",1
"Pay for Success                                                                                                                                                                                                                                                 ","SC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Spartanburg                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/institute-child-success                                                 ",1
"Pay for Success                                                                                                                                                                                                                                                 ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Memphis                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/green-healthy-homes-initiativecalvert-foundation                        ",1
"Pay for Success                                                                                                                                                                                                                                                 ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Austin                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/corporation-supportive-housing                                          ",1
"Pay for Success                                                                                                                                                                                                                                                 ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Austin                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/third-sector-capital-partners-inc                                       ",1
"Pay for Success                                                                                                                                                                                                                                                 ","TX                                                                                                                                                                                                                                                             ","Travis County                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/third-sector-capital-partners-inc                                       ",1
"Pay for Success                                                                                                                                                                                                                                                 ","UT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Murray                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/green-healthy-homes-initiativecalvert-foundation                        ",1
"Pay for Success                                                                                                                                                                                                                                                 ","UT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Salt Lake City                                                                                                                                                                                                                                                          ","State of Utah                                                                                                                                                                                                                                                                                                                                                                                                                                    ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/university-utah-policy-innovation-lab                                   ",1
"Pay for Success                                                                                                                                                                                                                                                 ","UT                                                                                                                                                                                                                                                             ","Salt Lake County                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/green-healthy-homes-initiativecalvert-foundation                        ",1
"Pay for Success                                                                                                                                                                                                                                                 ","UT                                                                                                                                                                                                                                                             ","Salt Lake County                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/nonprofit-finance-fund                                                  ",1
"Pay for Success                                                                                                                                                                                                                                                 ","VA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Richmond                                                                                                                                                                                                                                                                ","Commonwealth of Virginia                                                                                                                                                                                                                                                                                                                                                                                                                         ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/third-sector-capital-partners-inc                                       ",1
"Pay for Success                                                                                                                                                                                                                                                 ","WA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Olympia                                                                                                                                                                                                                                                                 ","State of Washington                                                                                                                                                                                                                                                                                                                                                                                                                              ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/corporation-supportive-housing                                          ",1
"Pay for Success                                                                                                                                                                                                                                                 ","WA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Olympia                                                                                                                                                                                                                                                                 ","State of Washington                                                                                                                                                                                                                                                                                                                                                                                                                              ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/institute-child-success                                                 ",1
"Pay for Success                                                                                                                                                                                                                                                 ","WI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Milwaukee                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/programs/social-innovation-fund/pay-success/national-council-crime-and-delinquency                                  ",1
