"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","KY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Louisville                                                                                                                                                                                                                                                              ","Russell                                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","LA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Shreveport                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",3
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","MA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Boston                                                                                                                                                                                                                                                                  ","Whittier                                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","MA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Springfield                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",3
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","MA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Springfield                                                                                                                                                                                                                                                             ","South End                                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","MD                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Baltimore                                                                                                                                                                                                                                                               ","Central West (Druid Heights)                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","MD                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Baltimore                                                                                                                                                                                                                                                               ","Central West (Upton)                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Flint                                                                                                                                                                                                                                                                   ","South Saginaw                                                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Kansas City                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",3
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","St. Louis                                                                                                                                                                                                                                                               ","Near North Side                                                                                                                                                                                                                                                                                                                                                                                                                                  ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","MS                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Meridian                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","NC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Durham                                                                                                                                                                                                                                                                  ","Southeast Central                                                                                                                                                                                                                                                                                                                                                                                                                                ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","NC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Salisbury                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","NC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Wilmington                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","NC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Wilson                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","NJ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Camden                                                                                                                                                                                                                                                                  ","Mt. Ephraim                                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","NJ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Jersey City                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",3
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","NJ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Newark                                                                                                                                                                                                                                                                  ","Dayton Street Neighborhood                                                                                                                                                                                                                                                                                                                                                                                                                       ","                                                                                                                                                   ",1
