"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"SBA Resources                                                                                                                                                                                                                                                   ","ID                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Seattle                                                                                                                                                                                                                                                                 ","Seattle District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","IL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Chicago                                                                                                                                                                                                                                                                 ","Illinois District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","IN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Indianapolis                                                                                                                                                                                                                                                            ","Indiana District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","KS                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Kansas City                                                                                                                                                                                                                                                             ","Kansas City District Office                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","KS                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Wichita                                                                                                                                                                                                                                                                 ","Wichita District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","KY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Louisville                                                                                                                                                                                                                                                              ","Kentucky District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","LA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","New Orleans                                                                                                                                                                                                                                                             ","Louisiana District Office                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","MA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Boston                                                                                                                                                                                                                                                                  ","Boston District Office                                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","MD                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Baltimore                                                                                                                                                                                                                                                               ","Baltimore District Office                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","MD                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Washington DC                                                                                                                                                                                                                                                           ","Washington D.C. District Office                                                                                                                                                                                                                                                                                                                                                                                                                  ","                                                                                                                                                   ",1
