"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"CNCS State Offices                                                                                                                                                                                                                                              ","MS                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Jackson                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Mississippi                                                                          ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","MT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Helena                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Montana                                                                              ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","NC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Raleigh                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/North%20Carolina                                                                     ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","ND                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Fargo                                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/North%20Dakota                                                                       ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","NH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Concord                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/New%20Hampshire                                                                      ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","NM                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Santa Fe                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/New%20Mexico                                                                         ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","NV                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Reno                                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Nevada                                                                               ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Albany                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/New%20York                                                                           ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Columbus                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Ohio                                                                                 ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","OK                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Oklahoma City                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Oklahoma                                                                             ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","OR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Portland                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Oregon                                                                               ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","PA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Philadelphia                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Pennsylvania                                                                         ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","RI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Providence                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Rhode%20Island                                                                       ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","SC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Columbia                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/South%20Carolina                                                                     ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Nashville                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Tennessee                                                                            ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Austin                                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Texas                                                                                ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","UT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Salt Lake City                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Utah                                                                                 ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","VA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Richmond                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Virginia                                                                             ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","VT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Montpelier                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Vermont                                                                              ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","WA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Seattle                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Washington                                                                           ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","WI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Milwaukee                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/Wisconsin                                                                            ",1
"CNCS State Offices                                                                                                                                                                                                                                              ","WV                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Charleston                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://www.nationalservice.gov/about/contact-us/state-offices/West%20Virginia                                                                      ",1
