"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"National Initiative for Building Community Trust                                                                                                                                                                                                                ","AL                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Birmingham                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://trustandjustice.org/about/mission                                                                                                           ",1
"National Initiative for Building Community Trust                                                                                                                                                                                                                ","CA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Stockton                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://trustandjustice.org/about/mission                                                                                                           ",1
"National Initiative for Building Community Trust                                                                                                                                                                                                                ","IN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Gary                                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://trustandjustice.org/about/mission                                                                                                           ",1
"National Initiative for Building Community Trust                                                                                                                                                                                                                ","MN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Minneapolis                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://trustandjustice.org/about/mission                                                                                                           ",1
"National Initiative for Building Community Trust                                                                                                                                                                                                                ","PA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Pittsburgh                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://trustandjustice.org/about/mission                                                                                                           ",1
"National Initiative for Building Community Trust                                                                                                                                                                                                                ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Fort Worth                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","http://trustandjustice.org/about/mission                                                                                                           ",1
